Id,Disease,County,Year,Sex,Count,Population,Rate,CI_lower,CI_upper,Recalculated_Rate
92939,Psittacosis,California,2007,Male,1,18180620,0.006,0.0,0.031,0.006
69782,Leprosy,California,2012,Female,6,19028077,0.032,0.012,0.069,0.032
100267,Relapsing Fever,California,2012,Male,3,18841496,0.016,0.003,0.047,0.016
87887,Pertussis,California,2002,Male,576,17384620,3.313,3.048,3.595,3.313
41821,E. coli O157,California,2003,Female,162,17783924,0.9109999999999999,0.7759999999999999,1.063,0.911
31224,Cryptosporidiosis,California,2012,Female,182,19028077,0.956,0.823,1.1059999999999999,0.956
22356,Cholera,California,2001,Male,0,17174034,0.0,0.0,0.021,0.0
108530,Shiga Toxin Positive Feces (without culture confirmation),California,2012,Male,32,18841496,0.17,0.11599999999999999,0.24,0.17
139339,Yersiniosis,California,2009,Male,44,18445222,0.239,0.17300000000000001,0.32,0.239
63683,Influenza Death (<65 years of age),California,2011,Female,41,18881056,0.217,0.156,0.295,0.217
27282,Coccidioidomycosis,California,2007,Female,1026,18373955,5.584,5.247999999999999,5.936,5.584
97831,"Rabies, human",California,2014,Male,0,19154588,0.0,0.0,0.019,0.0
97801,"Rabies, human",California,2004,Male,1,17785422,0.006,0.0,0.031,0.006
72236,Leptospirosis,California,2010,Male,0,18558691,0.0,0.0,0.02,0.0
108518,Shiga Toxin Positive Feces (without culture confirmation),California,2008,Male,17,18331667,0.09300000000000001,0.054000000000000006,0.14800000000000002,0.093
128549,Tularemia,California,2003,Male,1,17607062,0.006,0.0,0.032,0.006
55907,Hemolytic Uremic Syndrome,California,2013,Male,24,18988773,0.126,0.081,0.188,0.126
106061,Scombroid Fish Poisoning,California,2001,Male,9,17174034,0.052000000000000005,0.024,0.099,0.052
128582,Tularemia,California,2014,Male,0,19154588,0.0,0.0,0.019,0.0
100258,Relapsing Fever,California,2009,Male,2,18445222,0.011000000000000001,0.001,0.039,0.011
121126,Toxic Shock Syndrome (Non-Streptococcal),California,2002,Male,3,17384620,0.017,0.004,0.05,0.017
63692,Influenza Death (<65 years of age),California,2014,Female,136,19346905,0.703,0.59,0.8320000000000001,0.703
82095,Measles,California,2012,Male,4,18841496,0.021,0.006,0.054000000000000006,0.021
106087,Scombroid Fish Poisoning,California,2010,Female,7,18752748,0.037000000000000005,0.015,0.077,0.037
45955,Early Syphilis,California,2005,Male,2518,17899282,14.068,13.523,14.628,14.068
50957,Gonorrhea,California,2013,Male,24009,18988773,126.43799999999999,124.845,128.046,126.438
123613,Trichinosis,California,2005,Male,4,17899282,0.022000000000000002,0.006,0.057,0.022
67281,Legionellosis,California,2001,Male,39,17174034,0.22699999999999998,0.161,0.31,0.227
128567,Tularemia,California,2009,Male,2,18445222,0.011000000000000001,0.001,0.039,0.011
29768,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,California,2012,Male,7,18841496,0.037000000000000005,0.015,0.077,0.037
79607,Malaria,California,2004,Male,99,17785422,0.557,0.452,0.6779999999999999,0.557
116199,Streptococcal Infection (cases in food and dairy workers),California,2008,Male,4,18331667,0.022000000000000002,0.006,0.055999999999999994,0.022
19906,Chlamydia,California,2011,Male,51021,18691131,272.969,270.60900000000004,275.345,272.969
7453,"Botulism, Foodborne",California,2002,Female,0,17555714,0.0,0.0,0.021,0.0
9978,"Botulism, Other",California,2008,Male,0,18331667,0.0,0.0,0.02,0.0
82076,Measles,California,2006,Female,3,18220429,0.016,0.003,0.048,0.016
126092,Tuberculosis,California,2007,Male,1651,18180620,9.081,8.648,9.53,9.081
139335,Yersiniosis,California,2008,Female,37,18526603,0.2,0.141,0.275,0.2
14946,Brucellosis,California,2001,Male,16,17174034,0.09300000000000001,0.053,0.151,0.093
126091,Tuberculosis,California,2007,Female,1074,18373955,5.845,5.501,6.206,5.845
50938,Gonorrhea,California,2007,Female,14490,18373955,78.862,77.583,80.156,78.862
19888,Chlamydia,California,2005,Male,36227,17899282,202.394,200.317,204.487,202.394
106082,Scombroid Fish Poisoning,California,2008,Male,5,18331667,0.027000000000000003,0.009000000000000001,0.064,0.027
55880,Hemolytic Uremic Syndrome,California,2004,Male,16,17785422,0.09,0.051,0.146,0.09
121122,Toxic Shock Syndrome (Non-Streptococcal),California,2001,Female,14,17340743,0.081,0.044000000000000004,0.135,0.081
112469,Spotted Fever Rickettsiosis,California,2011,Male,3,18691131,0.016,0.003,0.047,0.016
77126,Lyme Disease,California,2001,Female,49,17340743,0.28300000000000003,0.209,0.374,0.283
121129,Toxic Shock Syndrome (Non-Streptococcal),California,2003,Male,0,17607062,0.0,0.0,0.021,0.0
123619,Trichinosis,California,2007,Male,0,18180620,0.0,0.0,0.02,0.0
48430,Giardiasis,California,2004,Female,870,17969405,4.842,4.525,5.1739999999999995,4.842
17446,Campylobacteriosis,California,2014,Female,3476,19346905,17.967,17.374000000000002,18.574,17.967
36920,Dengue,California,2013,Female,54,19177344,0.282,0.212,0.36700000000000005,0.282
139338,Yersiniosis,California,2009,Female,41,18634031,0.22,0.158,0.298,0.22
61244,HIV,California,2003,Female,743,17783924,4.178,3.883,4.489,4.178
